franchise_id,season_year,home_games,home_wins,home_attendance_total,avg_home_attendance,away_games,away_wins,away_attendance_total,avg_away_attendance,total_games,total_wins,Pct,total_attendance,attendance_avg,Team_Revenue,Ticket_Price,Operating_Income,LAFR,LAFA
10,2018,41,29,803436,19596.0,41,29,775248,18908.48780487805,82,58.0,0.7073170731707317,1578684,19252.243902439026,401.0,92.4,103.0,0.05008117896840265,0.035240771983078345
10,2019,41,30,803436,19596.0,41,27,770397,18790.170731707316,82,57.0,0.6951219512195121,1573833,19193.085365853658,440.0,100.4,109.0,0.05023404498230392,0.03551784366748406
10,2020,34,8,614176,18064.0,31,7,541077,17454.09677419355,65,15.0,0.23076923076923078,1155253,17773.123076923075,474.0,92.1,200.0,0.05987872662961091,0.034537270218644875
10,2021,36,25,33457,3717.4444444444443,36,14,46911,3127.4,72,39.0,0.5416666666666666,80368,1116.2222222222222,258.0,0.0,-44.0,0.04027474242897284,0.0223256676780625
11,2011,41,25,663839,16191.19512195122,41,18,695731,16969.048780487807,82,43.0,0.524390243902439,1359570,16580.121951219513,150.0,33.2,18.0,0.03787878787878788,0.030298019516839334
11,2012,33,22,506994,15363.454545454546,33,12,585198,17733.272727272728,66,34.0,0.5151515151515151,1092192,16548.363636363636,135.0,24.8,27.0,0.03676470588235294,0.02880701904109674
11,2013,41,29,683564,16672.29268292683,41,16,737281,17982.463414634145,82,45.0,0.5487804878048781,1420845,17327.378048780487,191.0,31.4,64.0,0.04192273924495171,0.031233603607790004
11,2014,41,33,743082,18123.951219512193,41,21,714540,17427.80487804878,82,54.0,0.6585365853658537,1457622,17775.878048780487,175.0,42.4,38.0,0.03654970760233918,0.033648835219912986
11,2015,41,30,747412,18229.560975609755,41,26,736761,17969.780487804877,82,56.0,0.6829268292682927,1484173,18099.670731707316,237.0,49.3,75.0,0.045752895752895754,0.033056254659103446
11,2016,41,23,737244,17981.560975609755,41,18,727368,17740.682926829268,82,41.0,0.5,1464612,17861.121951219513,244.0,49.4,63.0,0.04159563586771224,0.03253406627992331
11,2017,41,30,695903,16973.243902439026,41,25,743761,18140.51219512195,82,55.0,0.6707317073170732,1439664,17556.878048780487,296.0,47.3,95.0,0.04017372421281216,0.03073783425925562
11,2018,41,34,732722,17871.268292682926,41,31,753134,18369.121951219513,82,65.0,0.7926829268292683,1485856,18120.19512195122,326.0,51.6,103.0,0.0407143749219433,0.03213907383909251
11,2019,41,31,740392,18058.341463414636,41,22,734766,17921.121951219513,82,53.0,0.6463414634146342,1475158,17989.731707317074,348.0,66.6,110.0,0.03973056284964037,0.03273083022002482
11,2020,36,24,578458,18076.8125,36,20,578314,18072.3125,72,44.0,0.6111111111111112,1156772,16066.277777777777,308.0,56.7,94.0,0.03890853966649823,0.032528721825888465
